Category,Match,File
Work and Employment,Unemployment rate,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,unemployment rate,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,Decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,labour market,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2022.txt
Work and Employment,decent work,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,Reduced inequalities,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,Reduced inequalities,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,Income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,income inequality,The-Sustainable-Development-Goals-Report-2022.txt
Inequalities,Reduced inequalities,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,Universal health coverage,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Health Metrics,mental health,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,development aid,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,development aid,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,Climate finance,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,climate finance,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,Climate finance,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,Climate finance,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,climate finance,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,Climate Finance,The-Sustainable-Development-Goals-Report-2022.txt
Financial Support,development aid,The-Sustainable-Development-Goals-Report-2022.txt
SDG Goal,Goal 1,The-Sustainable-Development-Goals-Report-2023_0.txt
SDG Goal,Goal 2,The-Sustainable-Development-Goals-Report-2023_0.txt
SDG Goal,Goal 3,The-Sustainable-Development-Goals-Report-2023_0.txt
